bankA year sizeofA bankB sizeofB diff
1076776 1991 17.30503379 1049154 14.928743109999999 2.376290671
1073551 1999 19.348994900000001 1078921 16.544289689999999 2.804705215
1073757 1995 19.0482099 1023538 17.87717696 1.17103294
2277860 2007 18.83007392 1031449 15.680267819999999 3.149806097
1073551 1998 19.285100570000001 1033470 17.96659494 1.318505631
1951350 2007 21.50608506 1839319 15.42298755 6.083097511
1039502 2003 20.463109429999999 1117679 16.939850140000001 3.523259294
3650152 2012 17.22691794 1071397 15.325504199999999 1.901413743
1071203 2002 16.214672570000001 1076217 15.57199149 0.64268108
1073757 2002 20.308506170000001 1199844 17.793506319999999 2.514999844
1094640 2002 16.986240509999998 1113514 19.06562984 2.079389326
1070251 1991 15.709511429999999 1072107 16.237236339999999 0.527724909
1951350 2012 21.346344569999999 1027004 17.832108290000001 3.514236273
1112076 1996 17.947570679999998 1072237 16.750848879999999 1.196721796
1031449 1993 13.80776867 1113514 17.684927479999999 3.877158812
1068294 1992 17.931805749999999 1072291 15.992649200000001 1.939156548
1120754 2005 19.992917179999999 1027518 16.49559576 3.497321425
1079441 1996 17.081937719999999 1426997 13.12129481 3.960642916
1102367 2001 15.947353359999999 1079441 17.702309039999999 1.754955688
1072107 1992 16.307105709999998 1078529 15.72086683 0.586238875
3242838 2013 18.583324390000001 3063622 16.013720209999999 2.569604182
1073757 2008 21.323237970000001 1199844 18.033731849999999 3.289506124
1078426 1994 15.86417544 1426997 13.354509480000001 2.509665961
1039502 2002 20.447280419999998 1027004 17.0951323 3.352148128
1075126 2000 15.530119150000001 1070345 17.641036369999998 2.110917219
1199648 1995 16.9767613 1123531 13.594473539999999 3.382287759
1094828 1996 13.68918968 1068762 17.56857947 3.879389794
1069125 1992 17.181546040000001 1027602 15.044789639999999 2.136756402
1048625 2001 15.762976500000001 2776073 14.85226553 0.910710968
1074156 1991 15.13183809 1072237 16.286002230000001 1.154164135
1073551 1993 18.075185489999999 1026016 19.046260820000001 0.971075334
1098303 2009 15.895647479999999 1031449 16.368592549999999 0.472945062
1073757 1993 18.889060919999999 1070345 16.298842390000001 2.590218534
1094369 1992 15.47605671 1093586 16.970612800000001 1.494556088
1068294 1999 19.411800620000001 2384021 14.862121930000001 4.549678683
1145476 2014 16.931039439999999 1070345 18.747864549999999 1.816825109
1033872 1993 16.41269363 1053441 15.726517319999999 0.686176305
1068294 2001 19.41005092 1199611 17.49596605 1.914084864
1112076 1993 17.518980599999999 1078604 16.34789516 1.171085438
1073551 2001 19.61597197 1100233 14.53582387 5.080148097
1119794 2005 19.160067219999998 1111435 18.400434829999998 0.759632387
