bankA year sizeofA bankB sizeofB diff
1073757 1990 17.99426543 1119794 16.75998433 1.234281104
1073757 1990 17.99426543 1130892 15.18671768 2.807547753
1068294 1990 17.5913207 1068762 17.17917048 0.412150229
1039502 1990 18.10623024 1072107 16.25224964 1.853980602
1039502 1990 18.10623024 1072291 16.155324 1.950906243
1140743 1990 16.97617346 1199714 16.21316289 0.763010563
1073757 1990 17.99426543 1199611 16.28268704 1.711578393
1068294 1990 17.5913207 1199844 16.4413856 1.149935109
1069778 1990 17.63704872 1020603 17.11662974 0.520418977
1037115 1990 18.34921862 1025309 16.18561756 2.163601058
1120754 1990 17.23735661 1072291 16.155324 1.082032618
1068294 1990 17.5913207 1074790 15.45620021 2.135120497
1037115 1990 18.34921862 1070345 15.88971566 2.459502956
1120754 1990 17.23735661 1199714 16.21316289 1.024193722
1120754 1990 17.23735661 1031449 13.41800618 3.819350435
1069125 1990 16.98278251 1042351 19.19534339 2.212560879
1037115 1990 18.34921862 1075126 15.77480544 2.574413175
1140743 1990 16.97617346 1094211 15.84940594 1.126767513
1120754 1990 17.23735661 1025701 16.68812899 0.549227627
1069125 1990 16.98278251 1117679 13.74849003 3.234292488
1073757 1990 17.99426543 1025701 16.68812899 1.306136443
1069125 1990 16.98278251 1025701 16.68812899 0.294653527
1073757 1990 17.99426543 1248902 16.98128307 1.012982357
1068294 1990 17.5913207 1040795 18.40113518 0.809814473
1068294 1990 17.5913207 1035296 17.93503542 0.343714714
1069125 1990 16.98278251 1094640 15.7187625 1.26402001
1068294 1990 17.5913207 1116300 16.97821125 0.61310945
1068294 1990 17.5913207 1023060 16.2921208 1.2991999
1073757 1990 17.99426543 1074790 15.45620021 2.538065222
1073757 1990 17.99426543 1072291 16.155324 1.838941434
1069778 1990 17.63704872 1026016 18.5225873 0.885538581
1068294 1990 17.5913207 1024526 18.29308598 0.701765276
1039502 1990 18.10623024 1074790 15.45620021 2.650030031
1039502 1990 18.10623024 1033872 16.3663514 1.739878844
1068294 1990 17.5913207 1119794 16.75998433 0.831336379
1120754 1990 17.23735661 1068191 16.2843543 0.95300231
1140743 1990 16.97617346 1078426 15.68573904 1.29043442
